U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
-0.826023034,-0.325064352,0.687986567,-0.140014541,0.693749371,0.245739843,0.874758971,0.513413459
0.368077741,-0.826023034,-0.325064352,0.687986567,0.930232469,0.693749371,0.245739843,0.874758971
-0.975404166,0.368077741,-0.826023034,-0.325064352,0.163797949,0.930232469,0.693749371,0.245739843
0.292759631,-0.975404166,0.368077741,-0.826023034,1.225066839,0.163797949,0.930232469,0.693749371
-0.281222882,0.292759631,-0.975404166,0.368077741,0.291291091,1.225066839,0.163797949,0.930232469
-0.350905561,-0.281222882,0.292759631,-0.975404166,0.771059199,0.291291091,1.225066839,0.163797949
-0.148599648,-0.350905561,-0.281222882,0.292759631,0.632755621,0.771059199,0.291291091,1.225066839
-0.504664958,-0.148599648,-0.350905561,-0.281222882,0.530875182,0.632755621,0.771059199,0.291291091
0.658589021,-0.504664958,-0.148599648,-0.350905561,0.969267862,0.530875182,0.632755621,0.771059199
0.483882604,0.658589021,-0.504664958,-0.148599648,0.431196879,0.969267862,0.530875182,0.632755621
-0.468819672,0.483882604,0.658589021,-0.504664958,0.43634619,0.431196879,0.969267862,0.530875182
0.047753318,-0.468819672,0.483882604,0.658589021,0.848795219,0.43634619,0.431196879,0.969267862
0.388268839,0.047753318,-0.468819672,0.483882604,0.623634002,0.848795219,0.43634619,0.431196879
-0.433390148,0.388268839,0.047753318,-0.468819672,0.391074163,0.623634002,0.848795219,0.43634619
0.742620465,-0.433390148,0.388268839,0.047753318,1.034541094,0.391074163,0.623634002,0.848795219
0.615725748,0.742620465,-0.433390148,0.388268839,0.422656628,1.034541094,0.391074163,0.623634002
0.371912458,0.615725748,0.742620465,-0.433390148,0.611170692,0.422656628,1.034541094,0.391074163
-0.786278284,0.371912458,0.615725748,0.742620465,0.312523393,0.611170692,0.422656628,1.034541094
-0.131045574,-0.786278284,0.371912458,0.615725748,0.965013274,0.312523393,0.611170692,0.422656628
0.298832537,-0.131045574,-0.786278284,0.371912458,0.622924221,0.965013274,0.312523393,0.611170692
-0.479444189,0.298832537,-0.131045574,-0.786278284,0.406660906,0.622924221,0.965013274,0.312523393
0.647729038,-0.479444189,0.298832537,-0.131045574,1.016668901,0.406660906,0.622924221,0.965013274
0.034161173,0.647729038,-0.479444189,0.298832537,0.310088801,1.016668901,0.406660906,0.622924221
0.998649887,0.034161173,0.647729038,-0.479444189,1.002721156,0.310088801,1.016668901,0.406660906
-0.662503083,0.998649887,0.034161173,0.647729038,0.034099899,1.002721156,0.310088801,1.016668901
-0.697092716,-0.662503083,0.998649887,0.034161173,0.991502306,0.034099899,1.002721156,0.310088801
-0.954804445,-0.697092716,-0.662503083,0.998649887,0.472560192,0.991502306,0.034099899,1.002721156
0.138844243,-0.954804445,-0.697092716,-0.662503083,1.000241783,0.472560192,0.991502306,0.034099899
0.594646314,0.138844243,-0.954804445,-0.697092716,0.606947867,1.000241783,0.472560192,0.991502306
-0.903350696,0.594646314,0.138844243,-0.954804445,0.218066156,0.606947867,1.000241783,0.472560192
-0.45587393,-0.903350696,0.594646314,0.138844243,0.978010198,0.218066156,0.606947867,1.000241783
-0.297234905,-0.45587393,-0.903350696,0.594646314,0.568012019,0.978010198,0.218066156,0.606947867
0.347842785,-0.297234905,-0.45587393,-0.903350696,0.813881381,0.568012019,0.978010198,0.218066156
0.793136958,0.347842785,-0.297234905,-0.45587393,0.64523537,0.813881381,0.568012019,0.978010198
-0.285746333,0.793136958,0.347842785,-0.297234905,0.298438097,0.64523537,0.813881381,0.568012019
0.915444958,-0.285746333,0.793136958,0.347842785,1.084741223,0.298438097,0.64523537,0.813881381
0.99694884,0.915444958,-0.285746333,0.793136958,0.454279564,1.084741223,0.298438097,0.64523537
-0.020517658,0.99694884,0.915444958,-0.285746333,0.383411631,0.454279564,1.084741223,0.298438097
0.048826472,-0.020517658,0.99694884,0.915444958,0.741212568,0.383411631,0.454279564,1.084741223
0.390995625,0.048826472,-0.020517658,0.99694884,0.657413382,0.741212568,0.383411631,0.454279564
0.333673833,0.390995625,0.048826472,-0.020517658,0.569469551,0.657413382,0.741212568,0.383411631
0.206297112,0.333673833,0.390995625,0.048826472,0.588630077,0.569469551,0.657413382,0.741212568
-0.220689555,0.206297112,0.333673833,0.390995625,0.512411641,0.588630077,0.569469551,0.657413382
-0.233098351,-0.220689555,0.206297112,0.333673833,0.66912793,0.512411641,0.588630077,0.569469551
0.406723717,-0.233098351,-0.220689555,0.206297112,0.770725686,0.66912793,0.512411641,0.588630077
-0.229886929,0.406723717,-0.233098351,-0.220689555,0.385251365,0.770725686,0.66912793,0.512411641
0.742444899,-0.229886929,0.406723717,-0.233098351,0.976467947,0.385251365,0.770725686,0.66912793
-0.942831814,0.742444899,-0.229886929,0.406723717,0.047511634,0.976467947,0.385251365,0.770725686
-0.964588649,-0.942831814,0.742444899,-0.229886929,0.996345718,0.047511634,0.976467947,0.385251365
-0.340573979,-0.964588649,-0.942831814,0.742444899,0.705148343,0.996345718,0.047511634,0.976467947
0.357916789,-0.340573979,-0.964588649,-0.942831814,0.77811063,0.705148343,0.996345718,0.047511634
0.935653332,0.357916789,-0.340573979,-0.964588649,0.688932999,0.77811063,0.705148343,0.996345718
0.594610108,0.935653332,0.357916789,-0.340573979,0.460046326,0.688932999,0.77811063,0.705148343
0.167273485,0.594610108,0.935653332,0.357916789,0.548345113,0.460046326,0.688932999,0.77811063
0.439576809,0.167273485,0.594610108,0.935653332,0.705563002,0.548345113,0.460046326,0.688932999
0.917477393,0.439576809,0.167273485,0.594610108,0.683812964,0.705563002,0.548345113,0.460046326
-0.468168903,0.917477393,0.439576809,0.167273485,0.201604746,0.683812964,0.705563002,0.548345113
-0.800090066,-0.468168903,0.917477393,0.439576809,0.772648569,0.201604746,0.683812964,0.705563002
-0.646539512,-0.800090066,-0.468168903,0.917477393,0.642519751,0.772648569,0.201604746,0.683812964
-0.254692088,-0.646539512,-0.800090066,-0.468168903,0.739109517,0.642519751,0.772648569,0.201604746
0.732712022,-0.254692088,-0.646539512,-0.800090066,0.834592548,0.739109517,0.642519751,0.772648569
-0.467428088,0.732712022,-0.254692088,-0.646539512,0.208409531,0.834592548,0.739109517,0.642519751
0.147859147,-0.467428088,0.732712022,-0.254692088,1.004727236,0.208409531,0.834592548,0.739109517
-0.78479071,0.147859147,-0.467428088,0.732712022,0.258265556,1.004727236,0.208409531,0.834592548
-0.323963516,-0.78479071,0.147859147,-0.467428088,0.949191128,0.258265556,1.004727236,0.208409531
-0.878536575,-0.323963516,-0.78479071,0.147859147,0.390588233,0.949191128,0.258265556,1.004727236
0.308660503,-0.878536575,-0.323963516,-0.78479071,1.059846235,0.390588233,0.949191128,0.258265556
0.142774351,0.308660503,-0.878536575,-0.323963516,0.428568568,1.059846235,0.390588233,0.949191128
-0.026397124,0.142774351,0.308660503,-0.878536575,0.650569816,0.428568568,1.059846235,0.390588233
-0.565616581,-0.026397124,0.142774351,0.308660503,0.472366372,0.650569816,0.428568568,1.059846235
0.10294001,-0.565616581,-0.026397124,0.142774351,0.87459876,0.472366372,0.650569816,0.428568568
-0.954320827,0.10294001,-0.565616581,-0.026397124,0.263985278,0.87459876,0.472366372,0.650569816
0.861153294,-0.954320827,0.10294001,-0.565616581,1.292733027,0.263985278,0.87459876,0.472366372
-0.861160427,0.861153294,-0.954320827,0.10294001,-0.037475413,1.292733027,0.263985278,0.87459876
0.539849678,-0.861160427,0.861153294,-0.954320827,1.432245048,-0.037475413,1.292733027,0.263985278
0.961746312,0.539849678,-0.861160427,0.861153294,0.489624458,1.432245048,-0.037475413,1.292733027
0.495860257,0.961746312,0.539849678,-0.861160427,0.506751308,0.489624458,1.432245048,-0.037475413
-0.37482422,0.495860257,0.961746312,0.539849678,0.421215398,0.506751308,0.489624458,1.432245048
0.473680643,-0.37482422,0.495860257,0.961746312,0.934490538,0.421215398,0.506751308,0.489624458
-0.303572573,0.473680643,-0.37482422,0.495860257,0.298934632,0.934490538,0.421215398,0.506751308
0.698960216,-0.303572573,0.473680643,-0.37482422,1.035673508,0.298934632,0.934490538,0.421215398
0.501386484,0.698960216,-0.303572573,0.473680643,0.406896467,1.035673508,0.298934632,0.934490538
-0.16097491,0.501386484,0.698960216,-0.303572573,0.520124684,0.406896467,1.035673508,0.298934632
-0.905232011,-0.16097491,0.501386484,0.698960216,0.479825245,0.520124684,0.406896467,1.035673508
-0.580640812,-0.905232011,-0.16097491,0.501386484,0.802164867,0.479825245,0.520124684,0.406896467
0.689202352,-0.580640812,-0.905232011,-0.16097491,0.901381021,0.802164867,0.479825245,0.520124684
0.772577539,0.689202352,-0.580640812,-0.905232011,0.512317192,0.901381021,0.802164867,0.479825245
0.809334842,0.772577539,0.689202352,-0.580640812,0.631797394,0.512317192,0.901381021,0.802164867
-0.258482273,0.809334842,0.772577539,0.689202352,0.305400156,0.631797394,0.512317192,0.901381021
-0.334818456,-0.258482273,0.809334842,0.772577539,0.759888697,0.305400156,0.631797394,0.512317192
0.345021864,-0.334818456,-0.258482273,0.809334842,0.754918755,0.759888697,0.305400156,0.631797394
-0.838317334,0.345021864,-0.334818456,-0.258482273,0.256741056,0.754918755,0.759888697,0.305400156
-0.159810704,-0.838317334,0.345021864,-0.334818456,1.007251389,0.256741056,0.754918755,0.759888697
0.678221063,-0.159810704,-0.838317334,0.345021864,0.715692179,1.007251389,0.256741056,0.754918755
-0.835317386,0.678221063,-0.159810704,-0.838317334,0.170559472,0.715692179,1.007251389,0.256741056
-0.5793121,-0.835317386,0.678221063,-0.159810704,0.960059539,0.170559472,0.715692179,1.007251389
0.727664667,-0.5793121,-0.835317386,0.678221063,0.86589838,0.960059539,0.170559472,0.715692179
0.650746208,0.727664667,-0.5793121,-0.835317386,0.480322019,0.86589838,0.960059539,0.170559472
0.148211533,0.650746208,0.727664667,-0.5793121,0.517357715,0.480322019,0.86589838,0.960059539
-0.895539368,0.148211533,0.650746208,0.727664667,0.390692075,0.517357715,0.480322019,0.86589838
-0.232805253,-0.895539368,0.148211533,0.650746208,0.929526938,0.390692075,0.517357715,0.480322019
-0.912562493,-0.232805253,-0.895539368,0.148211533,0.359962699,0.929526938,0.390692075,0.517357715
-0.190613933,-0.912562493,-0.232805253,-0.895539368,0.96142955,0.359962699,0.929526938,0.390692075
-0.456412259,-0.190613933,-0.912562493,-0.232805253,0.452913344,0.96142955,0.359962699,0.929526938
-0.013850674,-0.456412259,-0.190613933,-0.912562493,0.821733303,0.452913344,0.96142955,0.359962699
0.953839505,-0.013850674,-0.456412259,-0.190613933,0.791542849,0.821733303,0.452913344,0.96142955
0.179751647,0.953839505,-0.013850674,-0.456412259,0.31696417,0.791542849,0.821733303,0.452913344
-0.850320505,0.179751647,0.953839505,-0.013850674,0.492816481,0.31696417,0.791542849,0.821733303
-0.689292733,-0.850320505,0.179751647,0.953839505,0.752647673,0.492816481,0.31696417,0.791542849
-0.671962517,-0.689292733,-0.850320505,0.179751647,0.609362522,0.752647673,0.492816481,0.31696417
-0.689442451,-0.671962517,-0.689292733,-0.850320505,0.650592183,0.609362522,0.752647673,0.492816481
0.789375375,-0.689442451,-0.671962517,-0.689292733,1.010019749,0.650592183,0.609362522,0.752647673
-0.717622963,0.789375375,-0.689442451,-0.671962517,0.081289197,1.010019749,0.650592183,0.609362522
-0.581391961,-0.717622963,0.789375375,-0.689442451,0.994760864,0.081289197,1.010019749,0.650592183
0.070754154,-0.581391961,-0.717622963,0.789375375,0.693419351,0.994760864,0.081289197,1.010019749
0.519806002,0.070754154,-0.581391961,-0.717622963,0.699246438,0.693419351,0.994760864,0.081289197
-0.229853998,0.519806002,0.070754154,-0.581391961,0.375090858,0.699246438,0.693419351,0.994760864
0.224487999,-0.229853998,0.519806002,0.070754154,0.852302873,0.375090858,0.699246438,0.693419351
-0.894102127,0.224487999,-0.229853998,0.519806002,0.248996583,0.852302873,0.375090858,0.699246438
-0.130359383,-0.894102127,0.224487999,-0.229853998,1.036283495,0.248996583,0.852302873,0.375090858
-0.479419166,-0.130359383,-0.894102127,0.224487999,0.410343779,1.036283495,0.248996583,0.852302873
0.00144665,-0.479419166,-0.130359383,-0.894102127,0.853234394,0.410343779,1.036283495,0.248996583
0.978974354,0.00144665,-0.479419166,-0.130359383,0.783906745,0.853234394,0.410343779,1.036283495
-0.484083081,0.978974354,0.00144665,-0.479419166,0.145854343,0.783906745,0.853234394,0.410343779
0.589057559,-0.484083081,0.978974354,0.00144665,1.165200585,0.145854343,0.783906745,0.853234394
-0.191561296,0.589057559,-0.484083081,0.978974354,0.237243383,1.165200585,0.145854343,0.783906745
0.467663618,-0.191561296,0.589057559,-0.484083081,0.982632706,0.237243383,1.165200585,0.145854343
-0.329022566,0.467663618,-0.191561296,0.589057559,0.28182513,0.982632706,0.237243383,1.165200585
-0.997742731,-0.329022566,0.467663618,-0.191561296,0.629408703,0.28182513,0.982632706,0.237243383
-0.559339396,-0.997742731,-0.329022566,0.467663618,0.773207535,0.629408703,0.28182513,0.982632706
0.413111107,-0.559339396,-0.997742731,-0.329022566,0.835029376,0.773207535,0.629408703,0.28182513
0.762670962,0.413111107,-0.559339396,-0.997742731,0.611684812,0.835029376,0.773207535,0.629408703
0.918530996,0.762670962,0.413111107,-0.559339396,0.621300173,0.611684812,0.835029376,0.773207535
-0.967191607,0.918530996,0.762670962,0.413111107,0.09943173,0.621300173,0.611684812,0.835029376
0.606218601,-0.967191607,0.918530996,0.762670962,1.351272928,0.09943173,0.621300173,0.611684812
-0.756014872,0.606218601,-0.967191607,0.918530996,0.054432243,1.351272928,0.09943173,0.621300173
-0.266511725,-0.756014872,0.606218601,-0.967191607,1.108554206,0.054432243,1.351272928,0.09943173
0.484439814,-0.266511725,-0.756014872,0.606218601,0.675322087,1.108554206,0.054432243,1.351272928
-0.753952921,0.484439814,-0.266511725,-0.756014872,0.263079973,0.675322087,1.108554206,0.054432243
-0.008965425,-0.753952921,0.484439814,-0.266511725,1.015660026,0.263079973,0.675322087,1.108554206
-0.569621539,-0.008965425,-0.753952921,0.484439814,0.356399653,1.015660026,0.263079973,0.675322087
0.450605129,-0.569621539,-0.008965425,-0.753952921,1.020783583,0.356399653,1.015660026,0.263079973
0.382405939,0.450605129,-0.569621539,-0.008965425,0.45527749,1.020783583,0.356399653,1.015660026
-0.015648041,0.382405939,0.450605129,-0.569621539,0.568520381,0.45527749,1.020783583,0.356399653
-0.031988939,-0.015648041,0.382405939,0.450605129,0.634240694,0.568520381,0.45527749,1.020783583
0.089842119,-0.031988939,-0.015648041,0.382405939,0.64396218,0.634240694,0.568520381,0.45527749
-0.894212855,0.089842119,-0.031988939,-0.015648041,0.35778065,0.64396218,0.634240694,0.568520381
0.681055241,-0.894212855,0.089842119,-0.031988939,1.175023654,0.35778065,0.64396218,0.634240694
-0.304592062,0.681055241,-0.894212855,0.089842119,0.179300527,1.175023654,0.35778065,0.64396218
-0.391553764,-0.304592062,0.681055241,-0.894212855,0.841449454,0.179300527,1.175023654,0.35778065
0.955016964,-0.391553764,-0.304592062,0.681055241,0.899270845,0.841449454,0.179300527,1.175023654
-0.273776178,0.955016964,-0.391553764,-0.304592062,0.171568715,0.899270845,0.841449454,0.179300527
0.192448086,-0.273776178,0.955016964,-0.391553764,0.983801296,0.171568715,0.899270845,0.841449454
-0.132765641,0.192448086,-0.273776178,0.955016964,0.413156908,0.983801296,0.171568715,0.899270845
0.381686289,-0.132765641,0.192448086,-0.273776178,0.842886768,0.413156908,0.983801296,0.171568715
0.079213706,0.381686289,-0.132765641,0.192448086,0.447924476,0.842886768,0.413156908,0.983801296
0.183042942,0.079213706,0.381686289,-0.132765641,0.712640381,0.447924476,0.842886768,0.413156908
0.584182084,0.183042942,0.079213706,0.381686289,0.67502638,0.712640381,0.447924476,0.842886768
0.434264032,0.584182084,0.183042942,0.079213706,0.530316906,0.67502638,0.712640381,0.447924476
-0.849189598,0.434264032,0.584182084,0.183042942,0.310882813,0.530316906,0.67502638,0.712640381
0.132937192,-0.849189598,0.434264032,0.584182084,1.050835873,0.310882813,0.530316906,0.67502638
0.003368666,0.132937192,-0.849189598,0.434264032,0.448567069,1.050835873,0.310882813,0.530316906
-0.008034151,0.003368666,0.132937192,-0.849189598,0.687318246,0.448567069,1.050835873,0.310882813
0.73166348,-0.008034151,0.003368666,0.132937192,0.777982541,0.687318246,0.448567069,1.050835873
-0.955573369,0.73166348,-0.008034151,0.003368666,0.104042833,0.777982541,0.687318246,0.448567069
0.971166243,-0.955573369,0.73166348,-0.008034151,1.435225531,0.104042833,0.777982541,0.687318246
-0.548307119,0.971166243,-0.955573369,0.73166348,-0.017787068,1.435225531,0.104042833,0.777982541
0.798391585,-0.548307119,0.971166243,-0.955573369,1.38219921,-0.017787068,1.435225531,0.104042833
-0.064980172,0.798391585,-0.548307119,0.971166243,0.164017656,1.38219921,-0.017787068,1.435225531
0.135365799,-0.064980172,0.798391585,-0.548307119,0.912428999,0.164017656,1.38219921,-0.017787068
0.675581545,0.135365799,-0.064980172,0.798391585,0.651180876,0.912428999,0.164017656,1.38219921
0.026139294,0.675581545,0.135365799,-0.064980172,0.409487529,0.651180876,0.912428999,0.164017656
-0.13987032,0.026139294,0.675581545,0.135365799,0.666668353,0.409487529,0.651180876,0.912428999
-0.453167082,-0.13987032,0.026139294,0.675581545,0.528668719,0.666668353,0.409487529,0.651180876
-0.538111491,-0.453167082,-0.13987032,0.026139294,0.655586223,0.528668719,0.666668353,0.409487529
0.057510654,-0.538111491,-0.453167082,-0.13987032,0.779826768,0.655586223,0.528668719,0.666668353
-0.253647476,0.057510654,-0.538111491,-0.453167082,0.481187368,0.779826768,0.655586223,0.528668719
-0.806941455,-0.253647476,0.057510654,-0.538111491,0.549492911,0.481187368,0.779826768,0.655586223
-0.110448282,-0.806941455,-0.253647476,0.057510654,0.859842793,0.549492911,0.481187368,0.779826768
0.829212723,-0.110448282,-0.806941455,-0.253647476,0.778117518,0.859842793,0.549492911,0.481187368
-0.297115892,0.829212723,-0.110448282,-0.806941455,0.239349735,0.778117518,0.859842793,0.549492911
0.156224758,-0.297115892,0.829212723,-0.110448282,0.935065701,0.239349735,0.778117518,0.859842793
-0.749227354,0.156224758,-0.297115892,0.829212723,0.282604053,0.935065701,0.239349735,0.778117518
-0.750875769,-0.749227354,0.156224758,-0.297115892,0.816713103,0.282604053,0.935065701,0.239349735
-0.034145029,-0.750875769,-0.749227354,0.156224758,0.767171119,0.816713103,0.282604053,0.935065701
0.564304479,-0.034145029,-0.750875769,-0.749227354,0.717195784,0.767171119,0.816713103,0.282604053
-0.023816072,0.564304479,-0.034145029,-0.750875769,0.407099418,0.717195784,0.767171119,0.816713103
0.268180359,-0.023816072,0.564304479,-0.034145029,0.784871749,0.407099418,0.717195784,0.767171119
-0.39894031,0.268180359,-0.023816072,0.564304479,0.380075159,0.784871749,0.407099418,0.717195784
0.956830175,-0.39894031,0.268180359,-0.023816072,1.083487854,0.380075159,0.784871749,0.407099418
0.945242554,0.956830175,-0.39894031,0.268180359,0.429225987,1.083487854,0.380075159,0.784871749
-0.680207008,0.945242554,0.956830175,-0.39894031,0.246054895,0.429225987,1.083487854,0.380075159
-0.800495525,-0.680207008,0.945242554,0.956830175,0.806471082,0.246054895,0.429225987,1.083487854
-0.400855467,-0.800495525,-0.680207008,0.945242554,0.693500253,0.806471082,0.246054895,0.429225987
0.428374416,-0.400855467,-0.800495525,-0.680207008,0.817843218,0.693500253,0.806471082,0.246054895
0.821208565,0.428374416,-0.400855467,-0.800495525,0.626892262,0.817843218,0.693500253,0.806471082
0.935304491,0.821208565,0.428374416,-0.400855467,0.602132406,0.626892262,0.817843218,0.693500253
-0.063110962,0.935304491,0.821208565,0.428374416,0.32779905,0.602132406,0.626892262,0.817843218
-0.459308561,-0.063110962,0.935304491,0.821208565,0.657232158,0.32779905,0.602132406,0.626892262
-0.877341348,-0.459308561,-0.063110962,0.935304491,0.52187299,0.657232158,0.32779905,0.602132406
0.092276289,-0.877341348,-0.459308561,-0.063110962,0.943356533,0.52187299,0.657232158,0.32779905
0.129405439,0.092276289,-0.877341348,-0.459308561,0.51924209,0.943356533,0.52187299,0.657232158
-0.059411282,0.129405439,0.092276289,-0.877341348,0.604548491,0.51924209,0.943356533,0.52187299
-0.385151406,-0.059411282,0.129405439,0.092276289,0.544763815,0.604548491,0.51924209,0.943356533
-0.697181006,-0.385151406,-0.059411282,0.129405439,0.588598322,0.544763815,0.604548491,0.51924209
-0.074659932,-0.697181006,-0.385151406,-0.059411282,0.819975065,0.588598322,0.544763815,0.604548491
0.696797434,-0.074659932,-0.697181006,-0.385151406,0.746055415,0.819975065,0.588598322,0.544763815
0.363111489,0.696797434,-0.074659932,-0.697181006,0.454458151,0.746055415,0.819975065,0.588598322
0.227309311,0.363111489,0.696797434,-0.074659932,0.635435148,0.454458151,0.746055415,0.819975065
0.431502839,0.227309311,0.363111489,0.696797434,0.651140975,0.635435148,0.454458151,0.746055415
0.174812157,0.431502839,0.227309311,0.363111489,0.519893992,0.651140975,0.635435148,0.454458151
-0.115514533,0.174812157,0.431502839,0.227309311,0.576618343,0.519893992,0.651140975,0.635435148
0.060083204,-0.115514533,0.174812157,0.431502839,0.683944072,0.576618343,0.519893992,0.651140975
